year,研究口径起点,目标交易日数,CBOE_Total_PCR_有效天数,CBOE_Total_PCR_覆盖率,CBOE_Index_PCR_有效天数,CBOE_Index_PCR_覆盖率,CBOE_ETP_PCR_有效天数,CBOE_ETP_PCR_覆盖率,CBOE_Equity_PCR_有效天数,CBOE_Equity_PCR_覆盖率,CBOE_VIX_PCR_有效天数,CBOE_VIX_PCR_覆盖率,CBOE_SPX_PCR_有效天数,CBOE_SPX_PCR_覆盖率
2019,2019-10-07,60,60,1.0,60,1.0,60,1.0,60,1.0,60,1.0,60,1.0
2020,2019-10-07,253,253,1.0,253,1.0,253,1.0,253,1.0,253,1.0,253,1.0
2021,2019-10-07,252,252,1.0,252,1.0,252,1.0,252,1.0,252,1.0,252,1.0
2022,2019-10-07,251,251,1.0,251,1.0,251,1.0,251,1.0,251,1.0,251,1.0
2023,2019-10-07,250,250,1.0,250,1.0,250,1.0,250,1.0,250,1.0,250,1.0
2024,2019-10-07,252,252,1.0,252,1.0,252,1.0,252,1.0,252,1.0,252,1.0
2025,2019-10-07,250,250,1.0,250,1.0,250,1.0,250,1.0,250,1.0,250,1.0
2026,2019-10-07,116,114,0.9827586206896551,114,0.9827586206896551,114,0.9827586206896551,114,0.9827586206896551,114,0.9827586206896551,114,0.9827586206896551
