date,状态,数据来源类型,请求URL,最终URL,解析方法,PCR目标数量,PCR核心目标数量,PCR解析数量,PCR核心解析数量,成交量分区解析数量,验证通过数量,验证部分通过数量,验证失败数量,HTML快照,备注,运行时间
2026-06-29,成功_全部验证通过,daily_page,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-06-29,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-06-29,read_html,6,6,6,6,6,6,0,0,,,2026-07-02 22:11:00
2026-06-30,成功_全部验证通过,daily_page,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-06-30,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-06-30,read_html,6,6,6,6,6,6,0,0,,,2026-07-02 22:11:02
2026-07-01,成功_全部验证通过,daily_page,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-07-01,https://www.cboe.com/markets/us/options/market-statistics/daily/?dt=2026-07-01,read_html,6,6,6,6,6,6,0,0,,,2026-07-02 22:11:04
